currency,user_id,id,amount_native,amount_usd,requested_at,finished_at
BTC,44017161,117200,17.44995048,1234.82563,2020-11-24 22:59:35,2020-01-25 14:00:02
MATIC,46740482,117197,17.45078559,546.6747434,2020-01-24 22:33:10,2020-01-25 02:00:20
PEPE,46489105,117194,17.4466122,556.8105408,2020-01-24 22:12:18,2020-01-25 02:00:19
PEPE,46117080,117193,17.44669315,1045.785866,2020-01-24 22:03:20,2020-01-25 02:00:19
AVAX,47626266,117191,17.45416988,653.6610576,2020-01-24 22:01:30,2020-01-25 02:00:41
MATIC,45854117,117185,17.62142289,982.7718733,2020-01-24 21:52:30,2020-01-25 02:00:20
MATIC,47217956,117183,19.72474778,615.2165742,2020-01-24 21:48:10,2020-01-25 02:00:25
PEPE,47361506,117181,17.44664664,764.8662853,2020-01-24 21:46:34,2020-01-25 02:00:19
SHIB,43000639,117180,17.79614012,557.7447398,2020-01-24 21:41:39,2020-01-25 02:00:23
AVAX,47778615,117176,17.45834608,718.6481713,2020-01-24 21:29:15,2020-01-25 02:00:40
UNI,43623849,117172,17.70676147,558.5324416,2020-01-24 21:21:22,2020-01-25 02:00:37
PEPE,43623849,117170,17.44668563,1000.343285,2020-01-24 21:19:43,2020-01-25 02:00:19
UNI,43410316,117168,20.44259194,795.4891762,2020-01-24 21:15:54,2020-01-25 02:00:37
BTC,43623849,117165,17.44670945,557.0589227,2020-01-24 21:09:51,2020-01-25 14:00:02
SHIB,47626266,117161,17.48174764,538.1860298,2020-01-24 21:00:55,2020-01-25 02:00:23
PEPE,47626266,117160,17.44663822,713.9886349,2020-01-24 21:00:30,2020-01-25 02:00:18
UNI,45278512,117159,17.76689831,563.7410352,2020-01-24 20:57:01,2020-01-25 02:00:37
BTC,46019407,117157,17.44676201,568.0506289,2020-01-24 20:55:38,2020-01-25 14:00:02
UNI,46232255,117156,17.61305226,550.4160653,2020-01-24 20:54:38,2020-01-25 02:00:37
UNI,43902512,117155,20.77547896,824.3213069,2020-01-24 20:50:39,2020-01-25 02:00:37
UNI,44820130,117150,34.09095978,1977.606534,2020-01-24 20:26:22,2020-01-25 02:00:37
UNI,47626266,117146,17.57791337,547.3726033,2020-01-24 20:01:06,2020-01-25 02:00:37
MATIC,47475707,117143,19.21437182,597.4695294,2020-01-24 19:57:29,2020-01-25 02:00:25
BTC,45716845,117136,17.45992423,3320.545072,2020-01-24 19:41:27,2020-01-25 14:00:02
AVAX,46478114,117129,17.91786765,7869.404676,2020-01-24 19:20:30,2020-01-25 02:00:40
UNI,43376836,117125,74.00047888,5434.264197,2020-01-24 19:05:02,2020-01-25 02:00:36
AVAX,47716600,117124,17.53157176,1858.135592,2020-01-24 19:02:27,2020-01-25 02:00:40
BTC,47716600,117123,17.45591189,2481.480236,2020-01-24 19:02:05,2020-01-25 14:00:02
AVAX,47626266,117122,17.48571151,1144.490134,2020-01-24 19:01:35,2020-01-25 02:00:40
PEPE,47626266,117120,17.44661597,579.6241213,2020-01-24 19:00:33,2020-01-25 02:00:18
MATIC,42715610,117117,17.5478413,794.7196593,2020-01-24 18:46:07,2020-01-25 02:00:20
PEPE,44919865,117116,17.4477905,7673.91497,2020-01-24 18:42:42,2020-01-25 02:00:18
PEPE,47252881,117109,17.44662183,615.0197347,2020-01-24 18:14:04,2020-01-25 02:00:18
SHIB,47626266,117104,26.82271855,1119.298338,2020-01-24 18:00:49,2020-01-25 02:00:22
PEPE,47626266,117102,17.44661266,559.5943277,2020-01-24 18:00:26,2020-01-25 02:00:18
SUSHI,46791641,117100,17.46360814,639.3326,2020-01-24 17:49:44,2020-01-25 01:00:21
PEPE,45088465,117098,17.4466963,1064.808912,2020-01-24 17:48:51,2020-01-25 02:00:17
PEPE,42618862,117097,17.44912637,15742.77491,2020-01-24 17:46:35,2020-01-25 02:00:17
UNI,43187508,117095,85.61507871,6440.232106,2020-01-24 17:41:35,2020-01-25 02:00:36
PEPE,46988881,117094,17.44993865,20649.02539,2020-01-24 17:34:11,2020-01-25 02:00:17
UNI,43841793,117089,19.44393087,708.9927841,2020-01-24 17:26:56,2020-01-25 02:00:36
UNI,43825945,117088,19.44393087,708.9927841,2020-01-24 17:25:32,2020-01-25 02:00:36
SHIB,45578932,117087,17.78724208,557.1911829,2020-01-24 17:24:00,2020-01-25 02:00:22
BTC,44809238,117084,17.44993762,1232.136268,2020-01-24 17:09:13,2020-01-25 14:00:02
AVAX,47939606,117082,17.45587018,680.1199068,2020-01-24 17:08:31,2020-01-25 02:00:40
UNI,47939606,117081,18.77852759,651.3606351,2020-01-24 17:08:22,2020-01-25 02:00:36
AVAX,47626266,117079,17.44741198,548.4992534,2020-01-24 17:01:44,2020-01-25 02:00:40
UNI,47626266,117078,17.70567574,558.4384039,2020-01-24 17:01:09,2020-01-25 02:00:36
UNI,42820738,117075,41.78298848,2643.831299,2020-01-24 16:58:31,2020-01-25 02:00:36
PEPE,45556299,117074,17.44665203,797.3884355,2020-01-24 16:56:13,2020-01-25 02:00:17
PEPE,42704358,117071,17.44660917,538.5097311,2020-01-24 16:22:31,2020-01-25 02:00:17
UNI,42715610,117067,20.79195573,825.7483993,2020-01-24 16:02:34,2020-01-25 02:00:36
MATIC,47626266,117066,17.46132777,573.617345,2020-01-24 16:01:50,2020-01-25 02:00:20
MATIC,47626266,117064,20.04687149,626.4176186,2020-01-24 16:01:39,2020-01-25 02:00:25
AVAX,47626266,117063,17.47046232,907.1927209,2020-01-24 16:01:31,2020-01-25 02:00:40
UNI,47626266,117062,18.71912598,646.215721,2020-01-24 16:00:58,2020-01-25 02:00:36
XRP,47626266,117061,17.60622042,545.9208394,2020-01-24 16:00:45,2020-01-25 02:00:21
SUSHI,43582387,117058,17.45690791,598.6045692,2020-01-24 15:53:01,2020-01-25 01:00:21
XRP,43109311,117057,25.76878427,1053.274,2020-01-24 15:50:46,2020-01-25 02:00:21
BTC,47503119,117056,17.44660875,536.0008841,2020-01-24 15:45:05,2020-01-25 14:00:02
PEPE,46296945,117054,17.44996755,20823.59607,2020-01-24 15:37:37,2020-01-25 02:00:17
MATIC,47626266,117048,17.44663172,536.0007987,2020-01-24 15:01:43,2020-01-25 02:00:24
UNI,47626266,117045,17.8789228,573.4437403,2020-01-24 15:01:03,2020-01-25 02:00:35
SHIB,47626266,117044,17.90521322,564.5302998,2020-01-24 15:00:55,2020-01-25 02:00:22
PEPE,47626266,117042,17.44661097,549.4210898,2020-01-24 15:00:31,2020-01-25 02:00:17
MATIC,43625614,117041,17.45001538,544.7063001,2020-01-24 14:49:16,2020-01-25 02:00:20
PEPE,47142601,117038,17.44661374,566.1602041,2020-01-24 14:47:42,2020-01-25 02:00:17
SUSHI,46956290,117035,17.45470692,585.2256105,2020-01-24 14:40:54,2020-01-25 01:00:21
AVAX,43799841,117033,17.49346361,1265.122961,2020-01-24 14:36:52,2020-01-25 02:00:39
PEPE,43799841,117032,17.44671084,1152.606875,2020-01-24 14:36:08,2020-01-25 02:00:17
UNI,43555203,117031,19.21690974,689.3299477,2020-01-24 14:35:48,2020-01-25 02:00:35
UNI,43696588,117030,22.42822193,967.4692776,2020-01-24 14:20:55,2020-01-25 02:00:35
BTC,43093530,117029,17.44744155,710.1548676,2020-01-24 14:20:29,2020-01-25 14:00:02
UNI,47845920,117027,20.77575054,824.3448293,2020-01-24 14:09:03,2020-01-25 02:00:35
UNI,43803072,117021,19.1718953,685.4311407,2020-01-24 13:46:35,2020-01-25 02:00:35
PEPE,42694717,117020,17.44666501,875.8049662,2020-01-24 13:35:55,2020-01-25 02:00:17
BTC,43300707,117017,17.44827319,884.0681341,2020-01-24 13:21:56,2020-01-25 14:00:02
UNI,44161971,117016,41.12488193,2586.831137,2020-01-24 13:17:46,2020-01-25 02:00:35
UNI,46963394,117014,19.11104385,680.1606534,2020-01-24 13:13:52,2020-01-25 02:00:35
UNI,46963394,117012,19.11104385,680.1606534,2020-01-24 13:10:44,2020-01-25 02:00:35
MATIC,47316502,117011,18.11251793,559.1553223,2020-01-24 13:05:43,2020-01-25 02:00:24
UNI,47316502,117010,18.20962563,602.086693,2020-01-24 13:05:25,2020-01-25 02:00:35
