date,client_type,trading volume,new_registered_clients,new_active_clients,trading_revenue,other_revenue,daily_active_clients,daily_transactional_clients,btc_price,btc_dominance,total_market_volume,number_of_trades,number_of_all_transactions_on_platform,news_headline,total_revenue,trading_revenue_per_active_client,trading_revenue_per_transaction,new_active_per_new_registered,revenue_to_trading_volume,transactional_to_active_clients
01/12/2022,corporate,148684128,12,5,30727,5447,126,148,20593,0.452475172,45155759238.0,62188,75534,"Experts are predicting continued growth in Bitcoin's value as more corporations and institutional investors adopt the cryptocurrency. The increasing demand from major players is expected to push Bitcoin's price to new heights in the coming months. Many believe Bitcoin will become a staple in corporate investment portfolios, offering a hedge against inflation. However, global economic uncertainty could still create risks for the crypto market.",36174,243.86507936507937,0.49409853991123687,0.4166666666666667,0.00024329429433113397,1.1746031746031746
02/12/2022,corporate,103457175,19,8,22231,2325,129,156,16397,0.494554321,21941839847.0,77519,90247,"Cryptocurrency is facing challenges as global inflation rates rise and economic uncertainties increase. Despite these hurdles, Bitcoin and other cryptocurrencies continue to attract investors looking for alternative stores of value. The economic environment is adding volatility to the crypto market, but many traders believe that the digital asset space will continue to grow as an inflation hedge and alternative investment vehicle.",24556,172.33333333333334,0.2867813052283956,0.42105263157894735,0.00023735424826745947,1.2093023255813953
03/12/2022,corporate,94718393,12,6,24620,3164,146,168,16720,0.488584854,14643818948.0,62980,76540,"Experts are predicting continued growth in Bitcoin's value as more corporations and institutional investors adopt the cryptocurrency. The increasing demand from major players is expected to push Bitcoin's price to new heights in the coming months. Many believe Bitcoin will become a staple in corporate investment portfolios, offering a hedge against inflation. However, global economic uncertainty could still create risks for the crypto market.",27784,168.63013698630138,0.39091775166719595,0.5,0.0002933326793244898,1.1506849315068493
04/12/2022,corporate,173914293,18,8,39783,6190,126,154,18701,0.488143548,38486877558.0,58564,73187,"Experts are predicting continued growth in Bitcoin's value as more corporations and institutional investors adopt the cryptocurrency. The increasing demand from major players is expected to push Bitcoin's price to new heights in the coming months. Many believe Bitcoin will become a staple in corporate investment portfolios, offering a hedge against inflation. However, global economic uncertainty could still create risks for the crypto market.",45973,315.73809523809524,0.6793081073697151,0.4444444444444444,0.000264342850762703,1.2222222222222223
05/12/2022,corporate,154199387,19,9,32027,3491,137,184,20484,0.465824196,32234205254.0,67057,84460,"Crypto adoption is seeing significant growth in emerging markets, with digital wallets and exchanges becoming increasingly popular. Countries in Latin America and Southeast Asia are leading the charge, where cryptocurrencies are being used for remittances, savings, and as an alternative to traditional banking. The shift towards crypto could help millions of unbanked individuals gain access to financial services, potentially transforming the global financial landscape.",35518,233.77372262773721,0.4776086016374129,0.47368421052631576,0.00023033814006018065,1.3430656934306568
06/12/2022,corporate,141395554,11,5,30390,2955,129,173,17326,0.451319964,71024268072.0,65716,75840,"Bitcoin reached a new all-time high today, fueled by increasing institutional investments. Investors are bullish as major companies like Tesla and MicroStrategy continue to accumulate Bitcoin. Analysts predict the trend will continue as more traditional financial institutions enter the market, pushing Bitcoin's price to unprecedented levels. However, experts are cautious about potential regulatory hurdles in the future.",33345,235.58139534883722,0.46244445797066164,0.45454545454545453,0.00023582778281699013,1.3410852713178294
07/12/2022,corporate,227151336,11,4,51825,9590,134,158,21465,0.484242959,35018319269.0,73850,91369,"Altcoins have been outperforming Bitcoin lately as Ethereum continues to push for greater scalability and lower fees. Other altcoins like Binance Coin and Cardano are also gaining attention, with their ecosystems expanding rapidly. Many investors are diversifying their portfolios to include a broader range of cryptocurrencies, as they believe altcoins may deliver higher returns than Bitcoin in the short term. This shift could lead to a more balanced and diversified crypto market.",61415,386.75373134328356,0.7017603249830738,0.36363636363636365,0.0002703704106763431,1.1791044776119404
08/12/2022,corporate,161967334,19,9,37384,7345,84,125,20913,0.455315843,25531718611.0,53767,73025,"Altcoins have been outperforming Bitcoin lately as Ethereum continues to push for greater scalability and lower fees. Other altcoins like Binance Coin and Cardano are also gaining attention, with their ecosystems expanding rapidly. Many investors are diversifying their portfolios to include a broader range of cryptocurrencies, as they believe altcoins may deliver higher returns than Bitcoin in the short term. This shift could lead to a more balanced and diversified crypto market.",44729,445.04761904761904,0.6952963713802146,0.47368421052631576,0.0002761606238452996,1.4880952380952381
09/12/2022,corporate,173389626,10,5,42158,4855,103,134,16677,0.475088433,25446187019.0,64270,83075,"Cryptocurrency is facing challenges as global inflation rates rise and economic uncertainties increase. Despite these hurdles, Bitcoin and other cryptocurrencies continue to attract investors looking for alternative stores of value. The economic environment is adding volatility to the crypto market, but many traders believe that the digital asset space will continue to grow as an inflation hedge and alternative investment vehicle.",47013,409.3009708737864,0.6559514548000622,0.5,0.000271140789011218,1.3009708737864079
10/12/2022,corporate,239870484,18,8,69759,9499,119,162,18780,0.455818112,38790645779.0,71860,89065,"Bitcoin reached a new all-time high today, fueled by increasing institutional investments. Investors are bullish as major companies like Tesla and MicroStrategy continue to accumulate Bitcoin. Analysts predict the trend will continue as more traditional financial institutions enter the market, pushing Bitcoin's price to unprecedented levels. However, experts are cautious about potential regulatory hurdles in the future.",79258,586.2100840336135,0.9707625939326469,0.4444444444444444,0.0003304199778076906,1.361344537815126
