unique_id,date ,daily_trading_volume
7,2022-12-06,36949
16,2022-12-09,49072
3,2022-12-15,20235
10,2022-12-15,46226
15,2022-12-16,25690
6,2022-12-14,38920
2,2022-12-17,7167
5,2022-12-23,37436
5,2022-12-15,33252
7,2022-12-19,41644
16,2022-12-16,49563
8,2022-12-13,38440
15,2022-12-21,37482
7,2022-12-21,37066
9,2022-12-06,6639
3,2022-12-19,31699
2,2022-12-23,41811
3,2022-12-24,30488
4,2022-12-18,2173
4,2022-12-27,35231
15,2022-12-10,44531
10,2022-12-09,27673
5,2022-12-10,32963
1,2022-12-25,23327
14,2022-12-15,4298
10,2022-12-03,31353
14,2022-12-06,15994
1,2022-12-18,3683
11,2022-12-14,1202
12,2022-12-24,22593
2,2022-12-27,11346
5,2022-12-07,39122
12,2022-12-03,3599
5,2022-12-08,29639
9,2022-12-20,18869
10,2022-12-30,32688
13,2022-12-13,45026
3,2022-12-18,37011
2,2022-12-29,46253
7,2022-12-22,8311
16,2022-12-27,45428
14,2022-12-09,31791
13,2022-12-11,4164
10,2022-12-08,21143
15,2022-12-11,2409
9,2022-12-03,9858
15,2022-12-22,48468
13,2022-12-03,3667
4,2022-12-10,11014
5,2022-12-30,4836
8,2022-12-07,37527
8,2022-12-25,19228
12,2022-12-16,17505
12,2022-12-20,9583
11,2022-12-04,41705
1,2022-12-15,11074
2,2022-12-03,17249
15,2022-12-20,576
9,2022-12-04,48475
12,2022-12-15,45703
12,2022-12-14,35004
2,2022-12-30,3307
6,2022-12-22,9081
16,2022-12-31,49502
12,2022-12-06,34604
15,2022-12-28,45752
16,2022-12-25,19200
12,2022-12-09,8805
3,2022-12-22,35507
11,2022-12-16,27075
3,2022-12-12,27326
6,2022-12-30,36161
2,2022-12-31,11805
15,2022-12-17,18201
11,2022-12-07,34187
9,2022-12-05,11351
9,2022-12-28,39614
13,2022-12-08,28388
10,2022-12-22,20848
8,2022-12-04,32620
3,2022-12-21,34043
5,2022-12-18,33946
13,2022-12-31,4054
2,2022-12-09,34030
14,2022-12-28,47284
9,2022-12-02,43363
4,2022-12-21,6513
2,2022-12-16,34199
15,2022-12-01,48095
2,2022-12-15,13076
16,2022-12-20,44719
8,2022-12-20,45488
16,2022-12-10,39278
12,2022-12-02,9498
15,2022-12-25,15939
1,2022-12-12,47441
12,2022-12-26,36257
10,2022-12-17,38875
10,2022-12-06,41139
14,2022-12-22,35045
11,2022-12-09,1433
4,2022-12-08,49645
4,2022-12-15,37373
16,2022-12-07,35558
4,2022-12-04,37701
5,2022-12-31,36736
7,2022-12-13,3193
4,2022-12-16,21946
8,2022-12-30,3807
1,2022-12-19,2197
7,2022-12-12,32554
9,2022-12-27,46662
7,2022-12-03,12267
1,2022-12-03,34231
15,2022-12-03,49282
1,2022-12-27,14767
8,2022-12-27,20280
